schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o12641,2,,,[],[],[]
o12643,1,,,[],[],[]
o12644,0,33,12,[],[],[]
o12647,1,28,3,[],[],[]
o12649,0,0,18,[],[],[]
o12652,3,,512,[],[],[]
o12653,3,,262,[],[],[]
o12911,5,1903,2856,[],[],[]
o12958,0,29,183,[],[],[]
o12970,5,5,7,[],[],[]
o12971,1,,1,[],[],[]
o12972,4,,97,[],[],[]
o12978,4,,28,[],[],[]
o12985,0,18,67,[],[],[]
o13,0,,25,[],[],['required']
o13017,0,2,6,[],[],[]
o13020,1,201,670,[],[],[]
o13024,0,305,,[],[],[]
o13029,0,264,173,[],[],[]
o13093,0,,15,[],[],[]
o13095,2,,19,[],[],[]
o13112,3,922,63,[],[],[]
o13122,3,,3,[],[],[]
o13123,6,29,,[],[],[]
o13129,4,8,37,[],[],[]
o13131,6,9,104,[],[],[]
o13134,0,53,172,[],[],[]
o13136,0,0,11,[],[],[]
o13138,0,34,96,[],[],[]
o13139,,4,6,[],[],[]
o13140,1,46,4,[],[],[]
o13142,2,2,2,[],[],[]
o13149,1,11,15,[],[],[]
o13150,1,18,13,[],[],[]
o13151,1,213,29,[],[],[]
o1316,2,22,8,[],[],[]
o1327,,55,13,[],[],[]
o1329,0,8,21,[],[],[]
o1332,1,1,,[],[],[]
o1334,,136,8,[],[],[]
o13349,0,185,34,[],[],[]
o13400,14,142,508,[],[],[]
o13401,2,62,51,[],[],[]
o13402,1,1,162,[],[],['required']
o13403,3,3,477,[],[],[]
o13404,2,,37,[],[],[]
o13435,0,10,15,[],[],[]
o13655,2,,75,[],[],[]
o13656,1,39,3,[],[],[]
o13663,1,1045,233,[],"['type', 'pattern', 'annotation', 'notes']",[]
o13664,0,,114,[],[],[]
o13666,0,38,33,[],[],[]
o13667,0,49,3,[],[],[]
o13668,0,115,,[],[],[]
o13671,1,16,3,[],[],[]
o13672,0,18,6,[],[],[]
o13683,0,43,45,[],[],[]
o13687,2,20,2,[],[],[]
o13688,2,23,2,[],[],[]
o13692,3,12,67,[],[],[]
o13694,2,,317,[],[],[]
o13695,11,19,11,[],[],[]
o13701,0,0,8,[],[],[]
o13707,1,21,12,[],[],[]
o13837,3,9,9,[],[],[]
o13839,0,6,2,[],[],[]
o13934,0,0,1023,[],[],[]
o13945,0,0,20,[],[],[]
o13947,0,0,23,[],[],[]
o13948,0,0,7,[],[],[]
o13952,0,0,45,[],[],[]
o13977,0,12,8,[],[],[]
o13981,0,47,20,[],[],[]
o13985,0,4,13,[],[],[]
o13989,0,6,19,[],[],[]
o14025,2,190,18,[],[],[]
o14077,0,,56,[],[],[]
o14078,0,,294,[],[],['required']
o14324,2,2,2,['items'],['items'],['items']
o14325,3,3,3,['items'],['items'],['items']
o14406,,36,,[],[],[]
o14412,5,14,13,[],[],[]
o14421,1,1,1,[],[],[]
o14426,5,27,18,[],[],[]
o14451,0,6,8,[],[],[]
o14452,0,10,4,[],[],[]
o14457,3,809,29,[],[],[]
o14458,0,,35,[],[],[]
o14459,5,12,25,[],[],['required']
o14461,2,6,10,[],[],[]
o14464,0,2,14,[],[],[]
o14466,0,31,73,[],[],[]
o14471,0,0,5,[],[],[]
o14473,2,77,14,[],[],[]
o14474,0,,126,[],[],[]
o14475,5,11,15,[],[],[]
o14478,0,,86,[],[],['required']
o14479,5,19,11,[],[],['required']
o14485,1,9,5,[],"['type', 'const']",[]
o14490,2,83,10,[],[],[]
o14491,1,67,15,[],[],[]
o14495,0,361,307,[],[],['required']
o14497,5,766,9,[],[],[]
o14509,0,21,10,[],[],[]
o14512,0,255,32,[],[],[]
o14513,0,60,24,[],[],[]
o14514,0,4,86,[],[],[]
o14528,0,402,554,[],[],[]
o14530,0,130,26,[],[],[]
o14633,0,0,8,[],[],[]
o14723,0,0,10,[],[],[]
o14741,0,10,4,[],[],[]
o14742,4,,22,[],[],[]
o14743,2,27,3,[],[],[]
o14744,8,150,8,[],[],[]
o15101,2,49,2,[],[],[]
o15102,1,,9,[],[],[]
o15103,2,,123,[],[],[]
o15105,3,,3,[],[],[]
o15111,0,,7,[],[],[]
o15123,0,,201,[],[],[]
o15131,,2,14,[],[],[]
o15172,0,0,201,[],[],[]
o15178,0,0,294,[],[],[]
o15197,0,3727,907,[],[],[]
o15201,0,0,85,[],[],[]
o15203,0,3,459,[],[],[]
o15210,0,8,164,[],[],[]
o15221,0,10,271,[],[],[]
o15222,4,,319,[],[],[]
o15286,,,526,[],[],[]
o1529,2,18,32,[],[],[]
o15291,4,86,61,[],[],[]
o15292,6,,6,[],[],[]
o15330,4,93,24,[],[],[]
o15726,2,5,2,[],[],[]
o15735,1,107,17,[],[],[]
