schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o24930,0,0,0,[],[],[]
o24956,0,,41,[],[],[]
o24957,0,,0,[],[],[]
o24958,0,,53,[],[],[]
o24987,5,5,,[],[],[]
o25106,3,,11,[],[],[]
o25107,1,1,1,[],[],[]
o25166,0,6,4,[],[],[]
o25175,0,42,4,[],[],[]
o25177,0,6,4,[],[],[]
o25182,0,177,4,[],[],[]
o25183,,,1,[],[],[]
o25406,1,,3,[],[],[]
o25419,2,22,5,[],[],[]
o25423,1,10,463,[],[],[]
o25692,0,454,15,[],[],[]
o25695,0,480,44,[],[],[]
o25711,0,165,41,[],[],[]
o25731,5,4,13,['type'],['type'],[]
o25733,1,107,28,[],['enum'],[]
o25741,1,74,56,[],[],[]
o25751,5,5,13,['type'],['type'],[]
o25763,0,161,31,[],[],[]
o25768,0,345,21,[],[],[]
o25771,0,21,30,[],[],[]
o25781,0,171,75,[],[],[]
o25793,0,0,2,[],[],[]
o25803,0,10,6,[],[],[]
o25804,1,3,9,[],[],[]
o25805,0,5,30,[],[],[]
o25806,1,25,51,[],[],[]
o25886,0,0,0,[],[],[]
o25939,4,34,17,[],[],[]
o25942,0,5,2,[],[],[]
o25945,5,5,5,[],[],[]
o25947,1,24,1,[],[],[]
o25952,2,24,3,[],[],[]
o25953,4,33,4,[],[],[]
o25956,0,25,14,[],[],[]
o25962,3,,8,[],[],[]
o25968,2,8,2,[],[],[]
o25969,1,58,2,[],[],[]
o25970,0,5,31,[],[],[]
o25974,5,63,5,[],[],[]
o25975,2,78,6,[],[],[]
o25976,0,5,2,[],[],[]
o25978,4,6,22,[],[],[]
o25979,6,119,17,[],[],[]
o25980,1,5,3,[],[],[]
o25981,2,22,2,[],[],[]
o25982,1,19,3,[],[],[]
o25988,1,,1,[],[],[]
o26111,2,28,17,[],['pattern'],[]
o26117,0,101,36,[],[],[]
o26118,0,140,13,[],[],[]
o26197,0,39,20,[],[],[]
o26198,0,202,,[],[],[]
o26216,2,2,2,[],[],[]
o26217,2,29,98,[],[],[]
o26257,1,,354,[],[],[]
o26314,0,2,1646,[],[],[]
o26565,0,,81,[],[],[]
o26566,4,,266,[],[],[]
o26578,0,,2,[],[],[]
o26592,3,11,11,[],[],[]
o26603,0,14,155,[],[],[]
o26621,0,0,238,[],[],[]
o26627,0,102,70,[],['pattern'],[]
o26628,1,44,1,[],[],[]
o26646,3,55,9,[],[],[]
o26649,2,,92,[],[],[]
o26651,2,44,84,[],[],[]
o26690,2,79,213,[],[],[]
o26966,0,18,12,[],[],[]
o26969,0,4,21,[],[],[]
o26972,0,10,26,[],[],[]
o26974,0,14,10,[],[],[]
o26975,0,165,18,[],[],[]
o26982,0,24,6,[],[],[]
o26992,0,8,10,[],[],[]
o27006,0,10,26,[],[],[]
o27017,2,6,20,[],[],[]
o27018,2,4,14,[],[],[]
o27019,0,2,22,[],[],[]
o27021,0,74,2,[],[],[]
o27022,0,,4,[],[],[]
o27023,0,38,16,[],[],[]
o27028,0,6,2,[],[],[]
o27031,0,4,8,[],[],[]
o27032,0,6,8,[],[],[]
o27034,0,6,8,[],[],[]
o27037,0,78,16,[],[],[]
o27039,4,15,254,[],[],[]
o27041,0,,,[],[],[]
o27042,0,104,14,[],[],[]
o27044,1,,1,[],[],[]
o27046,1,105,40,[],[],[]
o27074,0,5,26,[],[],[]
o27219,0,24,38,[],[],[]
o27224,0,40,10,[],[],[]
o27248,1,23,3,[],[],[]
o27258,,12,,[],[],[]
o27348,12,,,[],[],[]
o27350,1,,3,[],[],[]
o27351,0,36,29,[],[],[]
o27352,1,122,16,[],[],[]
o27354,0,37,16,[],[],[]
o27355,1,,7,[],[],[]
o27356,0,61,16,[],[],[]
o27357,0,2,18,[],[],[]
o27358,3,45,3,[],[],[]
o27360,1,15,23,[],[],[]
o27361,0,,30,[],[],[]
o27362,0,2,28,[],[],[]
o27363,0,8,18,[],[],[]
o27395,1,1,5,[],[],[]
o27402,5,57,35,[],[],[]
o27713,0,14,73,[],[],[]
o27771,0,69,10,[],[],[]
o27772,0,122,16,[],[],[]
o27786,1,28,6,[],[],[]
o27787,0,16,26,[],[],[]
o27788,1,23,39,[],[],[]
o27789,0,9,44,[],[],[]
o27790,0,0,74,[],[],[]
o27793,2,6,6,[],[],[]
o27826,0,66,22,[],[],[]
o27827,0,89,108,[],[],[]
o27828,0,20,20,[],[],[]
o27832,2,2,2,[],[],[]
o27834,1,,1,[],[],[]
o27835,0,0,4,[],[],[]
o27836,0,23,39,[],[],[]
o27837,0,0,6,[],[],[]
o27839,0,43,96,[],[],[]
o27840,3,,27,[],[],[]
o27843,0,12,12,[],['pattern'],[]
o27844,2,2,2,[],[],[]
o27845,2,1,1,[],[],[]
o27846,2,2,18,[],[],[]
o27848,0,,12,[],[],[]
o28130,7,,29,[],[],[]
o28131,4,,12,[],[],[]
o28139,2,,2,[],[],[]
o28145,0,,5,[],[],[]
o28168,0,2,4,[],[],[]
o28187,1,,4,[],[],['required']
o28194,1,,2,[],[],[]
o28196,3,3,9,[],[],[]
o28201,3,,6,[],[],[]
o28203,4,,4,[],[],[]
o28206,1,,5,[],[],[]
o28210,1,,1,[],[],[]
o28226,2,3,5,[],['pattern'],[]
o28242,0,14,9,[],[],[]
o28254,2,,4,[],[],[]
o28256,3,9,9,[],[],[]
o28258,0,0,8,[],[],[]
o28259,0,0,6,[],[],[]
o28260,0,0,10,[],[],[]
o28263,1,3,3,[],[],[]
o28266,0,0,4,[],[],[]
o28268,0,0,6,[],[],[]
o28269,0,0,6,[],[],[]
o28277,9,9,2,[],[],[]
o28532,1,5,1,[],[],[]
o28533,0,205,70,[],[],[]
o28606,0,19,21,[],[],[]
o28609,8,10,10,[],[],[]
o28610,0,,1544,[],[],[]
o28612,8,10,13,[],[],[]
o28613,0,,310,[],[],[]
o28614,8,10,10,[],[],[]
o28617,8,,51,[],[],[]
o28618,8,,435,[],[],[]
o28953,0,469,38,[],[],[]
o28956,4,106,36,[],[],[]
o29019,0,0,68,[],[],[]
o29020,0,0,581,[],[],[]
o29021,4,5,13,[],[],[]
o29023,,,6,[],[],[]
o29024,1,2,3,[],[],[]
o29042,0,0,4,[],[],[]
o29388,6,99,276,[],[],[]
o29389,0,20,185,[],[],[]
o29393,6,,185,[],[],[]
o29394,3,78,27,[],[],[]
o29445,0,0,67,[],[],[]
o2965,2,33,7,[],[],[]
o29764,0,0,60,[],[],[]
o29812,1,3,5,[],[],[]
o29813,2,9,23,[],[],[]
o29932,0,43,48,[],[],['type']
o29934,0,12,30,[],[],['type']
o29941,0,45,38,[],[],[]
o29942,0,4,34,[],[],[]
o29959,0,368,12,[],[],[]
o29961,0,20,32,[],[],[]
o29967,0,30,104,[],[],['type']
o29987,0,128,14,[],[],['type']
o29989,0,0,34,[],[],[]
o29990,0,10,28,[],[],[]
o29991,0,13,22,[],[],['type']
o30001,0,12,150,[],[],['type']
o30004,0,35,18,[],[],[]
o30006,0,38,24,[],[],[]
o30013,0,34,30,[],[],[]
o30022,0,129,78,[],[],[]
o30027,0,20,42,[],[],['type']
o30029,0,4,28,[],[],[]
o30042,0,4,20,[],[],[]
o30045,0,36,26,[],[],['type']
o30059,0,18,52,[],[],['type']
o30060,0,4,10,[],[],['type']
o30062,0,9,12,[],[],[]
o30076,0,6,12,[],[],[]
o30094,,16,48,[],[],[]
o30119,0,0,72,[],[],[]
o30125,0,42,10,[],[],[]
o30126,0,2,6,[],[],[]
o30134,0,0,48,[],[],[]
o30141,0,20,102,[],[],['type']
o30146,0,0,162,[],[],[]
o30153,0,0,50,[],[],[]
o30160,0,167,98,[],[],[]
o30180,0,11,46,[],[],[]
o30212,0,0,48,[],[],['type']
o30213,0,9,28,[],[],[]
o30219,0,2,24,[],[],[]
o30221,0,96,54,[],[],[]
o30222,0,10,106,[],[],[]
o30227,0,66,142,[],[],[]
o30230,0,15,36,[],[],[]
o30231,0,100,24,[],[],[]
o30259,0,18,62,[],[],[]
o30262,0,6,22,[],[],[]
o30263,0,0,156,[],[],[]
o30265,0,16,32,[],[],['type']
o30271,0,30,6,[],[],[]
o30275,0,64,20,[],[],['type']
o30283,0,4,10,[],[],['type']
o30284,0,388,26,[],[],[]
o30286,0,8,34,[],[],[]
o30287,0,15,60,[],[],[]
o30305,0,10,12,[],[],['type']
o30308,0,33,30,[],[],['type']
o30309,0,0,38,[],[],[]
o30322,0,16,32,[],[],['type']
o30341,0,144,18,[],[],[]
o30342,0,25,134,[],[],[]
o30360,0,19,6,[],[],['type']
o30369,0,8,178,[],[],[]
o30398,0,33,26,[],[],['type']
o30410,0,20,34,[],[],[]
o30411,0,12,34,[],[],['type']
o30422,0,4,18,[],[],[]
o30423,0,8,2,[],[],[]
o30439,0,61,58,[],[],[]
o30452,0,254,14,[],[],[]
o30464,0,100,10,[],[],[]
o30466,0,6,4,[],[],[]
o30467,0,10,30,[],[],[]
o30473,0,2,34,[],[],[]
o30476,0,2,8,[],[],[]
o30477,0,8,90,[],[],[]
o30485,0,13,8,[],[],[]
o30488,0,2,96,[],[],[]
o30491,0,4,24,[],[],[]
o30506,0,67,8,[],[],['type']
o30510,0,31,8,[],[],[]
o30517,0,0,18,[],[],['type']
o30518,0,8,34,[],[],['type']
o30521,0,47,24,[],[],[]
o30532,0,4,256,[],[],[]
o30538,0,8,24,[],[],['type']
o30544,0,12,122,[],[],[]
o30568,0,231,22,[],[],[]
o30579,0,56,48,[],[],[]
o30582,0,6,18,[],[],[]
o30593,0,6,6,[],[],[]
o30604,0,16,10,[],[],[]
o30614,0,14,16,[],[],[]
o30623,0,24,154,[],[],[]
o30625,0,8,32,[],[],[]
o30633,0,18,174,[],[],[]
o30651,0,12,32,[],[],['type']
o30654,0,139,36,[],[],[]
o30655,0,4,14,[],[],[]
o30671,0,49,16,[],[],[]
o30698,0,0,98,[],[],['type']
o30699,0,30,34,[],[],['type']
o30701,0,11,28,[],[],[]
o30734,0,10,32,[],[],[]
o30735,0,26,78,[],[],['type']
o30745,0,6,184,[],[],['type']
o30747,0,27,32,[],[],[]
o30752,0,647,10,[],[],[]
o30756,0,6,24,[],[],[]
o30757,0,10,18,[],[],[]
o30758,,36,22,[],[],[]
o30761,0,43,28,[],[],['type']
o30762,0,14,84,[],[],['type']
o30764,0,20,42,[],[],[]
o30766,0,18,70,[],[],[]
o30769,0,16,188,[],[],[]
o30775,0,16,16,[],[],[]
o30776,0,8,42,[],[],['type']
o30784,0,0,64,[],[],[]
o30802,0,327,8,[],[],['type']
o30803,0,28,10,[],[],[]
o30804,0,4,98,[],[],[]
o30815,0,18,14,[],[],[]
o30832,0,118,16,[],[],['type']
o30846,0,12,36,[],[],[]
o30847,0,4,38,[],[],['type']
o30856,0,10,24,[],[],['type']
o30867,0,191,24,[],[],['type']
o30871,0,8,12,[],[],[]
o30877,0,135,26,[],[],['type']
o30892,0,2,16,[],[],[]
o30899,0,16,8,[],[],[]
o30911,0,122,44,[],[],"['clientcertnotbefore', 'certnotafterheader', 'clientcertnotafter', 'certnotbeforeheader', 'type']"
o30922,0,6,60,[],[],"['type', 'clientcertnotbefore', 'notificationperiod', 'clientcertnotafter']"
o30940,0,53,48,[],[],[]
o30949,0,8,36,[],[],[]
o30959,0,14,54,[],[],"['type', 'sendclosenotify']"
o30962,0,12,6,[],[],[]
o30973,0,458,144,[],[],[]
o30981,0,23,16,[],[],[]
o30988,0,58,44,[],[],[]
o30994,0,4,40,[],[],[]
o31007,0,2,100,[],[],[]
o31008,0,14,8,[],[],[]
o31032,0,2,16,[],[],['type']
o31042,0,4,40,[],[],[]
o31043,0,10,14,[],[],[]
o31055,0,8,16,[],[],['type']
o31057,0,92,96,[],[],[]
o31058,0,6,28,[],[],['type']
o31059,0,4,14,[],[],[]
o31060,0,20,16,[],[],['type']
o31089,0,10,2,[],[],[]
o31090,0,8,24,[],[],[]
o31092,0,14,12,[],[],[]
o31097,0,21,28,[],[],[]
o31100,0,404,10,[],[],[]
o31108,0,14,26,[],[],['type']
o31109,0,0,18,[],[],['type']
o31112,0,4,18,[],[],[]
o31117,0,30,2,[],[],[]
o31121,0,12,6,[],[],['type']
o31132,0,510,20,[],[],['type']
o31136,0,77,38,[],[],['type']
o31158,0,42,14,[],[],['type']
o31163,0,12,14,[],[],[]
o31168,0,14,14,[],[],[]
o31171,0,2,94,[],[],['type']
o31175,0,8,4,[],[],[]
o31176,0,31,118,[],[],[]
o31177,0,10,30,[],[],[]
o31185,0,2,8,[],[],[]
o31201,0,26,44,[],[],[]
o31242,0,2,8,[],[],[]
o31244,0,172,60,[],[],['type']
o31276,2,,2,[],[],[]
o31277,3,,3,[],[],[]
o31282,0,1043,139,[],[],[]
o31289,0,,44,[],[],[]
o31290,0,2,101,[],[],[]
o31291,2,,33,[],[],[]
o31293,3,3,14,[],[],[]
o31337,0,6,4,[],[],[]
o31339,,,2,[],[],[]
o31350,3,19,3,[],[],[]
o31351,5,,140,"['required', 'type']",[],[]
o31352,2,2,51,[],[],[]
o31362,0,0,38,[],[],[]
o31545,0,2,6,[],[],[]
o31608,0,108,6,[],[],[]
o31612,0,10,10,[],[],[]
o31623,0,15,6,[],[],[]
o31638,0,65,26,[],[],[]
o31646,0,25,16,[],[],[]
o31835,0,263,20,[],[],[]
o31936,0,19,30,[],[],[]
o31994,0,14,80,[],[],[]
o32011,0,115,62,[],[],['type']
o32020,0,46,36,[],[],[]
o32026,0,16,76,[],[],[]
o3206,0,217,8,[],[],[]
o32069,0,4,34,[],[],[]
o3211,0,136,6,[],[],[]
o3212,1,3,233,[],[],[]
o32227,0,42,34,[],[],[]
o32246,0,341,16,[],[],[]
o32289,0,4,20,[],[],[]
o32436,0,0,146,[],[],[]
o32437,0,0,13,[],[],[]
o32451,0,,467,[],[],[]
o32474,0,28,27,[],[],[]
o32477,0,79,10,[],[],[]
o32478,0,57,4,[],[],[]
o32480,0,0,18,[],[],[]
o32481,0,22,6,[],[],[]
o32485,0,107,2,[],[],[]
o32487,0,10,6,[],[],[]
o32488,0,11,8,[],[],[]
o32494,1,9,27,[],[],[]
o32498,1,1,1,[],[],[]
o32502,0,4,4,[],[],[]
o32509,2,10,6,[],[],[]
o32511,5,12,9,[],[],[]
o32512,0,2,6,[],[],[]
o32514,0,25,8,[],[],[]
o32592,0,0,30,[],[],[]
o32645,0,8,350,[],[],[]
o32648,5,47,7,[],[],[]
o32665,1,1,,[],[],[]
o32668,1,,,[],[],[]
o32672,,0,,[],[],[]
o32715,0,1723,166,[],[],[]
o32735,1,33,1,[],[],[]
o32736,,38,8,[],[],[]
o32806,0,0,54,[],[],[]
o32807,1,3,4,[],[],[]
o32847,4,544,10,[],[],[]
o32917,0,237,169,[],[],[]
o32919,0,57,2,[],[],[]
o32962,3,17,9,[],[],[]
o32963,1,1,3,[],[],[]
o33011,7,24,,[],[],[]
o33017,0,1329,17,[],[],[]
o33027,0,55,103,[],[],[]
o33028,2,33,164,[],[],[]
o33032,0,,1293,[],[],[]
o33033,0,16,259,[],[],[]
o33129,0,54,118,[],[],[]
o33192,2,,85,[],[],[]
o33193,0,62,30,[],[],[]
o33423,12,79,,[],[],[]
o33426,3,18,126,[],[],[]
o33679,6,,68,[],[],[]
o33682,5,,64,[],[],[]
o33683,5,,76,[],[],[]
o33684,4,,60,[],[],[]
o33687,6,5,36,[],[],[]
o33692,0,60,16,[],[],[]
o33693,8,,,[],[],[]
o33695,3,,,[],[],[]
o33696,8,,,[],[],[]
o33698,3,160,52,[],[],[]
o33700,2,,28,[],[],[]
o33701,2,,40,[],[],[]
o33702,3,11,9,[],[],[]
o33704,3,275,37,[],[],[]
o33706,2,4,2,[],[],[]
o33707,3,3,3,[],[],[]
o33708,3,337,18,[],[],[]
o33714,1,,,[],[],[]
o33732,0,0,20,[],[],[]
o33733,1,229,67,[],[],[]
o33778,2,171,175,[],[],[]
o33783,0,30,55,[],[],[]
o33784,0,229,7,[],[],[]
o33825,5,243,11,[],[],[]
o33831,0,177,23,[],[],[]
o33832,2,,5,[],[],[]
o33834,1,,24,[],[],[]
o3385,0,0,128,[],[],"['const', 'required']"
o33924,20,,46,[],[],[]
o33925,0,50,40,[],[],[]
o33932,5,,57,[],[],[]
o33933,4,27,28,[],[],[]
o33938,4,4,23,[],[],[]
o33939,3,133,46,[],[],[]
o33940,0,153,14,[],[],[]
o33942,0,1,4,[],[],[]
o33964,13,51,67,[],[],[]
o33965,1,66,48,[],[],[]
o33966,0,57,10,[],[],[]
o34210,1,,1,[],[],[]
o34211,0,0,2,[],[],[]
o34336,7,7,9,[],[],[]
o34351,0,8,55,[],[],[]
o34358,3,,5,[],[],[]
o34361,0,0,0,[],[],[]
o34362,2,,14,[],[],[]
o34373,0,4,10,[],[],[]
o34374,0,32,20,[],[],[]
o34383,,38,665,[],[],[]
o34384,0,66,163,[],[],[]
o3439,0,385,61,[],[],[]
o3446,0,6,10,[],[],[]
o34462,3,17,3,[],[],[]
o3454,3,7,7,[],[],[]
o3456,11,16,41,[],[],[]
o3460,11,15,182,[],[],[]
o3472,2,,40,[],[],[]
o34759,0,10,150,[],[],[]
o34851,6,90,40,[],[],[]
o34871,2,,132,[],[],[]
o34872,0,,164,[],[],[]
o34889,1,,25,[],[],[]
o34896,0,24,46,[],[],[]
o34897,0,27,42,[],[],[]
o34898,0,24,8,[],[],[]
o34899,7,73,72,[],[],[]
o35154,0,72,14,[],[],[]
o35166,3,,11,[],[],[]
o35167,2,,4,[],[],[]
o35168,0,32,2,[],[],[]
o3518,0,31,105,[],[],[]
o35186,2,,931,[],[],[]
o35233,0,,16,[],[],[]
o3545,0,26,14,[],[],[]
o35505,0,0,2,[],[],[]
o35767,0,160,64,[],[],['required']
o35771,2,,12,[],[],[]
o35772,4,4,8,[],[],[]
o35773,4,4,4,[],[],[]
o35775,2,2,4,[],[],[]
o35778,1,,4,[],[],[]
o35779,0,71,10,[],[],[]
o35798,4,,40,[],[],[]
o358,43,,7,[],[],[]
o35815,4,11,38,[],[],[]
o35830,0,2,12,[],[],[]
o35866,0,0,0,[],[],[]
o35868,0,23,16,[],[],[]
o35870,2,102,90,[],['type'],[]
o359,1,6,50,[],[],[]
o35904,0,0,8,[],[],[]
o35905,0,169,10,[],[],[]
o35907,0,,42,[],[],[]
o35924,0,,15,[],[],[]
o35936,0,,27,[],[],[]
o35937,0,,14,[],[],[]
o360,6,,75,[],[],[]
o36008,0,0,106,[],[],[]
o36009,,473,38,[],[],[]
o36010,0,3,403,[],[],[]
o36011,0,24,1589,[],[],[]
o36012,0,12,,[],[],[]
o36016,0,2,64,[],[],[]
o36073,0,0,22,[],[],[]
o36075,,0,11,[],[],[]
o36151,1,999,57,[],[],[]
o36153,0,,217,[],[],[]
o3616,0,16,14,[],[],[]
o3617,0,164,22,[],[],[]
o3620,0,2,8,[],[],[]
o36222,3,42,7,[],[],[]
o3625,0,0,636,[],[],[]
o36250,1,,1,[],[],[]
o36252,0,2,16,[],[],[]
o3626,5,25,30,[],[],[]
o36264,1,13,1,[],[],[]
o36270,0,18,2,[],[],[]
o36272,0,0,2,[],[],[]
o36276,4,,77,[],[],[]
o36429,1,,13,[],[],[]
o36440,0,0,26,[],[],[]
o36441,0,8,16,[],[],[]
o36452,0,8567,430,[],[],[]
o36457,4,,194,[],[],[]
o36460,0,0,10,[],[],[]
o36461,1,1,1,[],[],[]
o36463,1,1,1,[],[],[]
o36464,1,1,1,[],[],[]
o36571,2,6,55,[],[],[]
o36572,,0,14,[],[],[]
o36573,0,0,444,[],[],[]
o36591,15,40,77,[],[],[]
o36594,1,8,8,[],[],[]
o36595,4,,7,[],[],[]
o36596,3,,10,[],[],[]
o36598,2,185,4,[],[],[]
o36599,3,129,27,[],[],[]
o366,1,,4,[],[],[]
o36600,2,7,19,[],[],[]
o36641,0,16,22,[],[],[]
o36645,0,37,8,[],[],[]
o36779,0,0,187,[],[],[]
o36788,0,231,19,[],"['type', 'additionalProperties']",[]
o36797,0,,,[],[],[]
o36798,13,33,13,[],[],[]
o369,5,,5,[],[],[]
o37060,1,5,36,[],[],[]
o37070,0,42,,[],['type'],[]
o37075,0,2,16,[],[],[]
o37085,2,,8,[],[],[]
o37086,4,,32,[],[],[]
o37087,0,,2,[],[],[]
o37088,3,,3,[],[],[]
o37090,2,,10,[],[],[]
o37092,2,,2,[],[],[]
o37094,4,,60,[],[],[]
o37095,3,,3,[],[],[]
o37096,3,,3,[],[],[]
o37097,4,,6,[],[],[]
o37098,1,,7,[],[],[]
o37102,2,16,208,[],[],[]
o373,3,9,627,[],[],[]
o374,0,4,34,[],[],[]
o37415,1,4,77,[],[],[]
o375,0,63,45,[],[],[]
o37603,1,27,,[],[],[]
o37609,1,88,75,[],[],[]
o37614,1,68,,[],[],[]
o37615,1,3,,[],[],[]
o37624,2,807,22,[],[],[]
o37649,0,,42,[],[],[]
o37682,9,,31,[],[],[]
o37714,0,0,81,[],[],[]
o37715,6,,5,[],[],[]
o37717,4,,228,[],[],[]
o37718,1,,,[],[],[]
o37721,7,7,39,[],[],[]
o37722,4,13,14,[],['pattern'],[]
o37724,2,,6,[],[],[]
o37725,3,,3,[],[],[]
o37727,0,5,227,[],[],[]
o37728,3,,,[],[],[]
o37729,2,5,591,[],[],[]
o37730,4,,,[],[],[]
o37731,4,,,[],[],[]
o37786,0,,6,[],[],[]
o37787,0,,4,[],[],[]
o37788,0,,6,[],[],[]
o37789,2,,192,[],[],[]
o38403,2,,77,[],[],[]
o38404,0,,157,[],[],[]
o38405,9,,137,[],[],[]
o38429,0,16,34,[],[],[]
o38433,0,2,17,[],[],[]
o38438,1,21,17,[],[],[]
o38444,0,156,12,[],[],[]
o38445,0,6,4,[],[],[]
o38538,0,19,59,[],[],[]
o38540,2,338,29,[],[],[]
o38553,3,7,3,[],[],[]
o38619,6,12,24,[],[],[]
o38637,0,1013,255,[],[],[]
o38670,1,,,[],[],[]
o38671,8,,159,[],[],[]
o38735,0,0,35,[],[],[]
o3895,0,38,67,[],[],[]
o3905,0,0,2,[],[],[]
o3906,1,3,1,[],[],[]
o3907,2,200,117,[],[],[]
o39075,15,,19,[],[],[]
o39077,0,,4,[],[],[]
o39078,8,,10,[],[],[]
o39080,4,33,34,[],['pattern'],[]
o39081,2,,10,[],[],[]
o39082,2,,5,[],[],[]
o39084,5,20,9,['type'],[],['type']
o39085,2,2,4,[],[],[]
o39086,3,,13,[],[],[]
o39088,5,,12,[],[],[]
o39097,0,0,54,[],[],['required']
o39113,1,96,101,[],[],[]
o39137,2,2,31,[],[],[]
o39138,1,3,1,[],[],[]
o3914,0,,65,[],[],[]
o39141,4,,9,[],[],[]
o39143,3,53,9,[],[],[]
o39146,2,6,26,[],[],[]
o39147,9,42,13,[],[],[]
o39150,4,124,2,[],[],[]
o39165,0,110,5,[],[],[]
o39166,0,228,16,[],[],[]
o39168,1,,2,[],[],[]
o39176,0,,6,[],[],[]
o3920,0,18,6,[],[],[]
o39208,0,0,6,[],[],[]
o39210,0,0,557,[],[],[]
o39214,0,1,,[],[],[]
o3922,1,14,9,[],[],[]
o3923,1,11,9,[],[],[]
o39230,1,2,,[],[],[]
o39233,0,0,94,[],[],[]
o3924,3,,8,[],[],[]
o3925,0,1,112,[],[],[]
o39256,1,166,68,[],[],[]
o393,6,6,6,[],[],[]
o39367,2,59,29,[],[],[]
o39369,1,73,898,[],[],[]
o39396,2,15,7,[],['pattern'],[]
o39420,3,,34,[],[],[]
o39423,0,0,3,[],[],[]
o39424,0,0,7,[],[],[]
o39426,0,0,18,[],[],[]
o39428,0,0,4,[],[],[]
o39429,0,0,8,[],[],[]
o39431,1,727,1,[],[],[]
o39432,0,0,6,[],[],[]
o39434,0,0,10,[],[],[]
o39435,0,0,22,[],[],[]
o39436,0,0,16,[],[],[]
o39437,0,0,7,[],[],[]
o39439,0,0,2,[],[],[]
o39440,0,1,0,[],[],[]
o39441,0,0,4,[],[],[]
o39442,0,0,2,[],[],[]
o39443,0,0,2,[],[],[]
o39444,,18,160,[],[],[]
o39445,0,28,14,[],[],[]
o39447,0,6,44,[],[],[]
o39448,0,32,,[],[],[]
o39452,0,10,16,[],[],[]
o39484,0,,18,[],[],[]
o39491,2,,26,[],[],[]
o39494,3,3,3,[],[],[]
o39497,4,,4,[],[],[]
o39505,3,3,3,[],[],[]
o39508,3,,5,[],[],[]
o39514,2,2,2,[],[],[]
o39515,3,3,3,[],[],[]
o39520,0,18,8,[],[],[]
o39527,1,,163,[],[],[]
o39529,1,25,8,[],[],[]
o39532,3,7,596,[],[],[]
o39535,5,180,207,[],[],[]
o39536,0,2143,144,[],[],[]
o39721,2,,24,[],[],[]
o39722,,62,19,[],[],[]
o39749,,0,30,[],[],[]
o39751,1,12,310,[],[],[]
o39754,0,20,35,[],[],[]
o39766,4,4,4,[],[],[]
o39767,7,9,7,[],[],[]
o39780,2,,5,[],[],[]
o39794,1,,120,[],[],[]
o39871,0,232,10,[],[],[]
o40179,2,20,18,[],[],[]
o40180,3,3,9,[],[],[]
o40181,6,,7,[],[],[]
o40220,4,47,20,[],[],[]
o40222,2,11,6,[],[],[]
o40223,2,2,2,[],[],[]
o40224,3,3,3,[],[],[]
o40225,2,2,2,['pattern'],['pattern'],[]
o40228,2,34,2,[],['pattern'],[]
o40229,1,60,1,[],['pattern'],[]
o40346,1,,9,[],[],[]
o40349,1,,1,[],[],[]
o40350,5,5,5,[],"['required', 'const']",[]
o40351,1,,5,[],[],[]
o40352,1,,2,[],[],[]
o40353,1,,1,[],[],[]
o40355,0,,0,[],[],[]
o40357,7,10,10,"['const', 'required']","['const', 'type']",[]
o40360,3,84,311,[],[],[]
o40388,7,17,130,[],[],[]
o40395,4,,35,[],[],[]
o40454,23,,179,[],[],[]
o4050,1,,1,[],[],[]
o40744,1,29,5,[],[],[]
o40753,,8,10,[],[],[]
o40778,3,359,14,[],[],[]
o40779,6,,50,[],[],[]
o41033,2,3,3,[],['pattern'],[]
o41044,0,27,2,[],[],[]
o41046,0,7,65,[],[],[]
o41049,3,3,3,[],[],[]
o41072,0,9,,[],[],[]
o41074,0,307,14,[],[],[]
o41077,0,6,8,[],[],[]
o41081,2,31,334,[],[],[]
o41096,0,38,12,[],[],[]
o4139,0,0,118,[],[],[]
o41609,1,,1,[],[],[]
o41645,0,,1,[],[],[]
o41658,0,,0,[],[],[]
o41679,2,2,1,[],"['additionalProperties', 'required', 'type']",[]
o41698,5,109,6,[],[],[]
o41699,9,,36,[],[],[]
o41702,1,,0,[],[],[]
o41710,0,,1,[],[],[]
o41717,4,4,3,[],[],[]
o41729,0,0,6,[],[],[]
o41730,0,0,33,[],[],[]
o41731,0,0,6,[],[],[]
o41733,1,,1,[],[],[]
o41735,0,,,[],[],[]
o41750,2,26,4,[],[],[]
o41759,,,71,[],[],[]
o41764,0,0,13,[],[],[]
o41765,0,,33,[],[],[]
o41787,1,3,1,[],[],[]
o41800,0,112,70,[],[],[]
o41802,0,49,15,[],[],[]
o41803,0,352,64,[],[],[]
o41810,0,0,92,[],[],[]
o4197,2,,188,[],[],[]
o42021,0,286,18,[],[],['required']
o42024,3,3,3,[],[],[]
o42026,1,,577,[],[],[]
o42027,1,,49,[],[],[]
o42028,0,13,12,[],[],[]
o42029,5,,74,[],[],[]
o42041,1,,76,[],[],[]
o42054,0,,347,[],[],[]
o42056,1,,144,[],[],[]
o42057,1,,175,[],[],[]
o42058,0,,290,[],[],[]
o42127,2,306,247,[],[],[]
o42140,0,40,130,[],[],[]
o42146,5,11,5,[],[],[]
o42148,2,35,110,[],[],[]
o42149,0,,0,[],[],[]
o42156,0,6,1,[],['required'],[]
o42158,0,1,0,[],"['type', 'const']",[]
o42159,1,31,1,[],['type'],[]
o42161,0,59,1,[],['type'],[]
