schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o12455,0,20,66,0,13,0,1,1,25,73
o12456,10,,37,0,,0,33,33,,65
o12457,0,,381,0,,9,5,5,,521
o12458,0,4,122,0,2,6,1,1,5,123
o12459,5,,116,0,,2,23,23,,139
o12460,6,,101,0,,2,23,23,,123
o12475,0,0,673,0,0,0,1,1,1,745
o12477,2,816,156,0,0,0,9,9,1043,205
o12478,1,,426,0,,0,11,11,,541
o12479,2,,96,0,,0,11,11,,123
o12480,2,,52,0,,0,11,11,,67
o12481,2,,439,0,,0,11,11,,527
o12483,0,,5,0,,0,3,3,,9
o12487,2,6,8,0,0,0,5,5,9,11
o12488,1,1,1,0,0,0,3,3,3,3
o12489,0,12,14,0,0,0,1,1,13,15
o12490,0,97,8,0,0,0,1,1,115,9
o12491,0,8,10,0,0,0,1,1,9,11
o12494,0,6,10,0,0,0,1,1,7,11
o12496,0,43,14,0,0,0,1,1,47,15
o12498,0,21,115,0,0,0,1,1,23,123
o12499,0,101,56,0,0,0,1,1,135,57
o12562,1,,26,0,,0,3,3,,29
