schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors
o13131,6,9,104,3,6,5
o13134,0,53,172,0,1,0
o13136,0,0,11,0,0,0
o13138,0,34,96,0,1,0
o13139,,4,6,,3,0
o13140,1,46,4,0,5,0
o13142,2,2,2,0,0,0
o13149,1,11,15,0,0,0
o13150,1,18,13,0,0,0
o13151,1,213,29,0,0,0
o1316,2,22,8,0,0,0
o1327,,55,13,3,1,0
o1329,0,8,21,0,0,0
o1332,1,1,,0,0,
o1334,,136,8,,0,0
o13349,0,185,34,0,0,0
o13400,14,142,508,0,0,0
o13401,2,62,51,0,9,0
o13402,1,1,162,0,0,1
o13403,3,3,477,0,0,3
o13404,2,,37,0,,1
o13435,0,10,15,0,0,0
o13655,2,,75,0,,0
o13656,1,39,3,0,1,0
o13663,1,1045,233,0,39,0
o13664,0,,114,0,,0
o13666,0,38,33,0,0,0
o13667,0,49,3,0,0,0
o13668,0,115,,0,0,
o13671,1,16,3,0,0,0
o13672,0,18,6,0,0,0
o13683,0,43,45,0,0,0
o13687,2,20,2,0,0,0
o13688,2,23,2,0,0,0
o13692,3,12,67,0,5,2
o13694,2,,317,0,,0
o13695,11,19,11,0,2,0
o13701,0,0,8,0,0,0
o13707,1,21,12,1,1,0
o13837,3,9,9,0,0,0
o13839,0,6,2,0,0,0
o13934,0,0,1023,0,0,0
o13945,0,0,20,0,0,0
o13947,0,0,23,0,0,0
o13948,0,0,7,0,0,0
o13952,0,0,45,0,0,0
o13977,0,12,8,0,0,0
o13981,0,47,20,0,0,0
o13985,0,4,13,0,0,0
o13989,0,6,19,0,0,0
o14025,2,190,18,0,0,0
o14077,0,,56,0,,0
o14078,0,,294,0,,12
o14324,2,2,2,0,0,0
o14325,3,3,3,0,0,0
o14406,,36,,,0,
o14412,5,14,13,0,2,0
o14421,1,1,1,0,0,0
o14426,5,27,18,0,5,0
o14451,0,6,8,0,0,0
o14452,0,10,4,0,0,0
o14457,3,809,29,0,0,0
o14458,0,,35,0,,0
o14459,5,12,25,0,0,1
o14461,2,6,10,0,0,0
o14464,0,2,14,0,0,0
o14466,0,31,73,0,0,0
o14471,0,0,5,0,0,0
o14473,2,77,14,0,0,0
o14474,0,,126,0,,0
o14475,5,11,15,0,0,0
o14478,0,,86,0,,4
o14479,5,19,11,0,0,1
o14485,1,9,5,0,1,0
o14490,2,83,10,0,0,0
o14491,1,67,15,0,0,0
o14495,0,361,307,0,0,3
o14497,5,766,9,0,0,0
o14509,0,21,10,0,0,0
o14512,0,255,32,0,7,0
o14513,0,60,24,0,0,0
o14514,0,4,86,0,0,0
o14528,0,402,554,0,16,20
o14530,0,130,26,0,0,0
o14633,0,0,8,0,0,0
o14723,0,0,10,0,0,0
o14741,0,10,4,0,0,0
o14742,4,,22,0,,0
o14743,2,27,3,0,0,0
o14744,8,150,8,0,0,0
o15101,2,49,2,0,0,0
o15102,1,,9,0,,0
o15103,2,,123,0,,1
o15105,3,,3,0,,0
o15111,0,,7,0,,0
o15123,0,,201,0,,0
o15131,,2,14,,0,0
o15172,0,0,201,0,0,2
o15178,0,0,294,0,0,0
o15197,0,3727,907,0,413,44
o15201,0,0,85,0,0,0
o15203,0,3,459,0,0,0
o15210,0,8,164,0,0,0
o15221,0,10,271,0,0,0
o15222,4,,319,0,,0
o15286,,,526,,,0
o1529,2,18,32,0,7,0
o15291,4,86,61,0,12,0
o15292,6,,6,0,,0
o15330,4,93,24,0,0,0
o15627,,12,472,,0,0
o15726,2,5,2,0,0,0
o15735,1,107,17,0,0,0
o16041,2,161,6,0,0,1
o16044,1,1,1,0,0,0
o16046,2,14,83,0,0,0
o16047,0,91,60,0,0,1
o16067,2,,39,0,,0
o16103,0,0,,0,0,
o16363,0,,1,0,,0
o16365,1,6,1,0,0,0
o16373,4,,,0,,
o16379,2,2,11,0,0,0
o16739,6,6,6,0,0,0
o16742,0,2,50,0,0,0
o16744,1,4,1,0,0,0
o16749,0,6,94,0,0,0
o16791,0,11,125,0,7,0
o17072,1,,23,0,,0
o17121,12,258,42,0,0,2
o17122,0,2,38,0,0,0
o17123,0,2,1,0,0,0
o17125,0,127,4,0,0,0
o17127,1,5,212,0,1,14
o17131,0,0,4,0,0,0
o17132,0,0,14,0,0,0
o17133,0,0,109,0,0,0
o17139,3,,5,0,,0
o17391,1,,171,0,,0
o17393,0,10,22,0,0,0
o17394,13,28,21,0,2,0
o17401,5,7,5,0,0,0
o17404,2,26,15,0,0,0
o17408,5,,5,0,,0
o17417,5,,18,0,,0
o17424,2,4,2,0,0,0
o17436,2,27,29,1,1,0
o17437,2,2,2,0,0,0
o17438,2,2,2,0,0,0
o17460,1,,1,0,,0
o17462,0,0,134,0,0,18
o17482,0,0,10,0,0,1
o17520,,982,93,,0,0
o17539,0,2122,73,0,0,0
o17546,1,98,1,0,1,0
o17547,1,,7,0,,0
o17565,6,,6,5,,0
o17568,1,,2,0,,0
o17591,0,90,220,0,0,0
o17599,1,16,3,0,1,0
o17600,0,30,20,0,0,0
o17602,14,16,16,0,2,0
o17608,0,9,2,0,1,0
o17611,3,6,3,0,2,0
o17614,0,13,2,0,1,0
o17616,3,191,2,0,1,0
o17628,0,16,5,0,0,0
o17631,,6,2,,2,0
o17633,,65,1,,1,0
o17635,3,405,3,0,3,0
o17637,1,,3,0,1,0
o17641,0,18,24,0,3,0
o17648,0,14,24,0,0,0
o17654,2,,2,0,,0
o17657,1,,1,0,,0
o17661,2,,2,0,1,0
o17663,1,12,50,0,1,2
o17665,3,14,3,0,1,0
o17668,0,10,12,0,2,0
o17674,2,4,3,0,0,0
o17675,1,9,1,0,0,0
o17676,2,,2,0,,0
o17678,0,,8,0,1,0
o17687,4,14,12,0,1,0
o17688,6,64,10,0,0,0
o17692,0,246,0,0,1,0
o17700,5,,,0,,
o17940,7,,13,0,,0
o17941,5,14,27,0,5,0
o17944,0,0,138,0,0,0
o17954,12,,312,0,,0
o17984,0,0,10,0,0,0
o17985,0,2,4,0,0,0
o17990,0,0,121,0,0,0
o18021,0,2,,0,0,
o18039,1,55,1,0,0,0
o18046,0,0,277,0,0,0
o18353,1,263,7,0,0,0
o18633,0,27,33,0,0,0
o18637,0,119,,0,0,
o18644,1,4,65,0,1,1
o18670,5,12,13,0,0,0
o18948,0,,300,0,1,0
o18949,0,,76,0,,0
o19003,4,4,4,0,0,0
o19022,4,,14,1,,0
o19031,2,,4,0,,0
o19057,2,58,1,1,1,0
o19062,4,,33,0,,0
o19065,12,,34,0,,0
o19066,2,177,2,0,0,0
o19067,,,3,0,,0
o19068,10,,41,0,,0
o19069,0,,53,0,,0
o19070,3,53,8,0,1,1
o19071,2,,32,0,,0
